text,label
"Your account has been compromised. Click here to reset your password.",1
"Meeting tomorrow at 3 PM. Agenda attached.",0
"Confirm your bank account details to avoid suspension.",1
"Hello! How are you? Just checking in.",0
"You have won a lottery of $1,000,000. Claim your prize now!",1
"Please find attached the report you requested.",0
"Your invoice is ready. Please make the payment by the due date.",0
"URGENT: Your account will be suspended. Click here to verify.",1
"Team lunch today at 1 PM. See you there!",0
"Your package has been shipped. Track your order here.",0
"Exclusive offer for you! Get 50% off on all products.",1
"Can we reschedule our meeting to Friday?",0
"Your subscription is expiring soon. Renew now to avoid interruption.",0
"A new device has signed into your account. If this was not you, please secure your account immediately.",1
"Happy birthday! Wishing you a great day.",0
"Your Amazon order has been successfully placed.",0
"Verify your Apple ID. Your account has been locked for security reasons.",1
"Don't miss out on our special deals this weekend.",0
"Your monthly bank statement is now available.",0
"You have a new message from a friend.",0
